Date,CO2,adjusted CO2
1958-03-01,315.70,314.44
1958-04-01,317.46,315.16
1958-05-01,317.51,314.71
1958-07-01,315.86,315.19
1958-08-01,314.93,316.19
1958-09-01,313.21,316.08
1958-11-01,313.33,315.20
1958-12-01,314.67,315.43
1959-01-01,315.58,315.54
1959-02-01,316.49,315.86
1959-03-01,316.65,315.38
1959-04-01,317.72,315.42
1959-05-01,318.29,315.49
1959-06-01,318.15,316.03
1959-07-01,316.54,315.86
1959-08-01,314.80,316.06
1959-09-01,313.84,316.73
1959-10-01,313.33,316.33
1959-11-01,314.81,316.68
1959-12-01,315.58,316.35
1960-01-01,316.43,316.39
1960-02-01,316.98,316.35
1960-03-01,317.58,316.28
1960-04-01,319.03,316.70
1960-05-01,320.04,317.22
1960-06-01,319.58,317.48
1960-07-01,318.18,317.52
1960-08-01,315.90,317.20
1960-09-01,314.17,317.08
1960-10-01,313.83,316.83
1960-11-01,315.00,316.88
1960-12-01,316.19,316.96
1961-01-01,316.90,316.85
1961-02-01,317.70,317.07
1961-03-01,318.54,317.26
1961-04-01,319.48,317.16
1961-05-01,320.58,317.76
1961-06-01,319.77,317.63
1961-07-01,318.57,317.88
1961-08-01,316.79,318.06
1961-09-01,314.99,317.90
1961-10-01,315.31,318.32
1961-11-01,316.10,317.99
1961-12-01,317.01,317.78
1962-01-01,317.94,317.90
1962-02-01,318.55,317.92
1962-03-01,319.68,318.40
1962-04-01,320.57,318.24
1962-05-01,321.02,318.18
1962-06-01,320.62,318.47
1962-07-01,319.61,318.93
1962-08-01,317.40,318.68
1962-09-01,316.25,319.17
1962-10-01,315.42,318.44
1962-11-01,316.69,318.58
1962-12-01,317.70,318.47
1963-01-01,318.74,318.70
1963-02-01,319.07,318.43
1963-03-01,319.86,318.57
1963-04-01,321.38,319.05
1963-05-01,322.25,319.40
1963-06-01,321.48,319.33
1963-07-01,319.74,319.06
1963-08-01,317.77,319.05
1963-09-01,316.21,319.14
1963-10-01,315.99,319.02
1963-11-01,317.07,318.97
1963-12-01,318.35,319.13
1964-01-01,319.57,319.53
1964-05-01,322.26,319.40
1964-06-01,321.89,319.75
1964-07-01,320.44,319.78
1964-08-01,318.69,320.01
1964-09-01,316.70,319.66
1964-10-01,316.87,319.91
1964-11-01,317.68,319.58
1964-12-01,318.71,319.49
1965-01-01,319.44,319.40
1965-02-01,320.44,319.81
1965-03-01,320.89,319.59
1965-04-01,322.14,319.78
1965-05-01,322.17,319.30
1965-06-01,321.87,319.70
1965-07-01,321.21,320.52
1965-08-01,318.87,320.16
1965-09-01,317.81,320.77
1965-10-01,317.30,320.36
1965-11-01,318.87,320.78
1965-12-01,319.42,320.20
1966-01-01,320.62,320.58
1966-02-01,321.60,320.95
1966-03-01,322.39,321.08
1966-04-01,323.70,321.34
1966-05-01,324.08,321.20
1966-06-01,323.75,321.57
1966-07-01,322.38,321.69
1966-08-01,320.36,321.66
1966-09-01,318.64,321.60
1966-10-01,318.10,321.17
1966-11-01,319.78,321.70
