Country,Code,Year,Value,ValuePrev
Austria,AUT,1971,0.544,0.549
Austria,AUT,1972,0.543,0.544
Austria,AUT,1973,0.545,0.543
Austria,AUT,1974,0.596,0.545
Austria,AUT,1975,0.566,0.596
Austria,AUT,1976,0.599,0.566
Austria,AUT,1977,0.603,0.599
Austria,AUT,1978,0.597,0.603
Austria,AUT,1979,0.633,0.597
Austria,AUT,1980,0.668,0.633
Austria,AUT,1981,0.684,0.668
Austria,AUT,1982,0.641,0.684
Austria,AUT,1983,0.625,0.641
Austria,AUT,1984,0.666,0.625
Austria,AUT,1985,0.701,0.666
Austria,AUT,1986,0.64,0.701
Austria,AUT,1987,0.629,0.64
Austria,AUT,1988,0.666,0.629
Austria,AUT,1989,0.705,0.666
Austria,AUT,1990,0.715,0.705
Austria,AUT,1991,0.7,0.715
Austria,AUT,1992,0.676,0.7
Austria,AUT,1993,0.633,0.676
Austria,AUT,1994,0.66,0.633
Austria,AUT,1995,0.683,0.66
Austria,AUT,1996,0.701,0.683
Austria,AUT,1997,0.749,0.701
Austria,AUT,1998,0.769,0.749
Austria,AUT,1999,0.783,0.769
Austria,AUT,2000,0.854,0.783
Austria,AUT,2001,0.875,0.854
Austria,AUT,2002,0.869,0.875
Austria,AUT,2003,0.864,0.869
Austria,AUT,2004,0.908,0.864
Austria,AUT,2005,0.94,0.908
Austria,AUT,2006,0.981,0.94
Austria,AUT,2007,1.007,0.981
Austria,AUT,2008,1.021,1.007
Austria,AUT,2009,0.871,1.021
Austria,AUT,2010,0.99,0.871
Austria,AUT,2011,1.051,0.99
Austria,AUT,2012,1.052,1.051
Austria,AUT,2013,1.041,1.052
Austria,AUT,2014,1.035,1.041
Austria,AUT,2015,1.024,1.035
Austria,AUT,2016,1.01,1.024
Austria,AUT,2017,1.049,1.01
Austria,AUT,2018,1.079,1.049
Austria,AUT,2019,1.079,1.079
Austria,AUT,2020,1.002,1.079
Austria,AUT,2021,1.112,1.002
Belgium,BEL,1971,0.856,0.877
Belgium,BEL,1972,0.852,0.856
Belgium,BEL,1973,0.941,0.852
Belgium,BEL,1974,1.053,0.941
Belgium,BEL,1975,0.915,1.053
Belgium,BEL,1976,0.968,0.915
Belgium,BEL,1977,0.957,0.968
Belgium,BEL,1978,0.923,0.957
Belgium,BEL,1979,1.016,0.923
Belgium,BEL,1980,1.031,1.016
Belgium,BEL,1981,1.102,1.031
Belgium,BEL,1982,1.179,1.102
Belgium,BEL,1983,1.204,1.179
Belgium,BEL,1984,1.282,1.204
Belgium,BEL,1985,1.239,1.282
Belgium,BEL,1986,1.123,1.239
Belgium,BEL,1987,1.099,1.123
Belgium,BEL,1988,1.164,1.099
Belgium,BEL,1989,1.249,1.164
Belgium,BEL,1990,1.215,1.249
Belgium,BEL,1991,1.186,1.215
Belgium,BEL,1992,1.151,1.186
Belgium,BEL,1993,1.09,1.151
Belgium,BEL,1994,1.132,1.09
Belgium,BEL,1995,1.164,1.132
Belgium,BEL,1996,1.192,1.164
Belgium,BEL,1997,1.257,1.192
Belgium,BEL,1998,1.247,1.257
Belgium,BEL,1999,1.252,1.247
Belgium,BEL,2000,1.422,1.252
Belgium,BEL,2001,1.396,1.422
Belgium,BEL,2002,1.361,1.396
Belgium,BEL,2003,1.327,1.361
Belgium,BEL,2004,1.369,1.327
Belgium,BEL,2005,1.445,1.369
Belgium,BEL,2006,1.496,1.445
Belgium,BEL,2007,1.525,1.496
Belgium,BEL,2008,1.611,1.525
Belgium,BEL,2009,1.354,1.611
Belgium,BEL,2010,1.5,1.354
Belgium,BEL,2011,1.615,1.5
Belgium,BEL,2012,1.607,1.615
Belgium,BEL,2013,1.579,1.607
Belgium,BEL,2014,1.588,1.579
Belgium,BEL,2015,1.542,1.588
Belgium,BEL,2016,1.577,1.542
Belgium,BEL,2017,1.653,1.577
Belgium,BEL,2018,1.665,1.653
Belgium,BEL,2019,1.642,1.665
Belgium,BEL,2020,1.572,1.642
Belgium,BEL,2021,1.727,1.572
Bulgaria,BGR,1981,0.702,0.664
Bulgaria,BGR,1982,0.675,0.702
Bulgaria,BGR,1983,0.741,0.675
Bulgaria,BGR,1984,0.784,0.741
Bulgaria,BGR,1985,0.86,0.784
Bulgaria,BGR,1986,0.835,0.86
Bulgaria,BGR,1987,0.834,0.835
Bulgaria,BGR,1988,0.915,0.834
Bulgaria,BGR,1989,0.946,0.915
Bulgaria,BGR,1990,0.698,0.946
Bulgaria,BGR,1991,0.827,0.698
Bulgaria,BGR,1992,1,0.827
Bulgaria,BGR,1993,0.84,1
Bulgaria,BGR,1994,0.907,0.84
Bulgaria,BGR,1995,0.553,0.907
Bulgaria,BGR,1996,0.858,0.553
Bulgaria,BGR,1997,0.865,0.858
Bulgaria,BGR,1998,0.77,0.865
Bulgaria,BGR,1999,0.901,0.77
Bulgaria,BGR,2000,0.777,0.901
Bulgaria,BGR,2001,0.791,0.777
Bulgaria,BGR,2002,0.753,0.791
Bulgaria,BGR,2003,0.79,0.753
Bulgaria,BGR,2004,0.931,0.79
Bulgaria,BGR,2005,0.997,0.931
Bulgaria,BGR,2006,1.11,0.997
Bulgaria,BGR,2007,1.235,1.11
Bulgaria,BGR,2008,1.247,1.235
Bulgaria,BGR,2009,0.927,1.247
Bulgaria,BGR,2010,1.034,0.927
Bulgaria,BGR,2011,1.175,1.034
Bulgaria,BGR,2012,1.24,1.175
Bulgaria,BGR,2013,1.297,1.24
Bulgaria,BGR,2014,1.303,1.297
Bulgaria,BGR,2015,1.267,1.303
Bulgaria,BGR,2016,1.228,1.267
Bulgaria,BGR,2017,1.297,1.228
Bulgaria,BGR,2018,1.289,1.297
Bulgaria,BGR,2019,1.246,1.289
Bulgaria,BGR,2020,1.103,1.246
Bulgaria,BGR,2021,1.21,1.103
Cyprus,CYP,1976,1.124,0.922
Cyprus,CYP,1977,1.156,1.124
Cyprus,CYP,1978,1.053,1.156
Cyprus,CYP,1979,1.084,1.053
Cyprus,CYP,1980,1.083,1.084
Cyprus,CYP,1981,1.136,1.083
Cyprus,CYP,1982,1.152,1.136
Cyprus,CYP,1983,1.144,1.152
Cyprus,CYP,1984,1.218,1.144
Cyprus,CYP,1985,1.076,1.218
Cyprus,CYP,1986,0.935,1.076
Cyprus,CYP,1987,0.976,0.935
Cyprus,CYP,1988,1.016,0.976
Cyprus,CYP,1989,1.113,1.016
Cyprus,CYP,1990,1.086,1.113
Cyprus,CYP,1991,1.042,1.086
Cyprus,CYP,1992,1.101,1.042
Cyprus,CYP,1993,0.954,1.101
Cyprus,CYP,1994,0.958,0.954
Cyprus,CYP,1995,1.344,0.958
Cyprus,CYP,1996,1.408,1.344
Cyprus,CYP,1997,1.398,1.408
Cyprus,CYP,1998,1.349,1.398
Cyprus,CYP,1999,1.312,1.349
Cyprus,CYP,2000,1.375,1.312
Cyprus,CYP,2001,1.318,1.375
Cyprus,CYP,2002,1.236,1.318
Cyprus,CYP,2003,1.14,1.236
Cyprus,CYP,2004,1.139,1.14
Cyprus,CYP,2005,1.119,1.139
Cyprus,CYP,2006,1.098,1.119
Cyprus,CYP,2007,1.113,1.098
Cyprus,CYP,2008,1.129,1.113
Cyprus,CYP,2009,1.028,1.129
Cyprus,CYP,2010,1.089,1.028
Cyprus,CYP,2011,1.106,1.089
Cyprus,CYP,2012,1.123,1.106
Cyprus,CYP,2013,1.209,1.123
Cyprus,CYP,2014,1.308,1.209
Cyprus,CYP,2015,1.373,1.308
Cyprus,CYP,2016,1.39,1.373
Cyprus,CYP,2017,1.48,1.39
Cyprus,CYP,2018,1.485,1.48
Cyprus,CYP,2019,1.52,1.485
Cyprus,CYP,2020,1.642,1.52
Cyprus,CYP,2021,1.703,1.642
Czechia,CZE,1991,0.713,0.635
Czechia,CZE,1992,0.785,0.713
Czechia,CZE,1993,0.788,0.785
Czechia,CZE,1994,0.753,0.788
Czechia,CZE,1995,0.835,0.753
Czechia,CZE,1996,0.811,0.835
Czechia,CZE,1997,0.846,0.811
Czechia,CZE,1998,0.844,0.846
Czechia,CZE,1999,0.86,0.844
Czechia,CZE,2000,0.98,0.86
Czechia,CZE,2001,0.99,0.98
Czechia,CZE,2002,0.913,0.99
Czechia,CZE,2003,0.95,0.913
Czechia,CZE,2004,1.135,0.95
Czechia,CZE,2005,1.213,1.135
Czechia,CZE,2006,1.27,1.213
Czechia,CZE,2007,1.298,1.27
Czechia,CZE,2008,1.237,1.298
Czechia,CZE,2009,1.128,1.237
Czechia,CZE,2010,1.28,1.128
Czechia,CZE,2011,1.379,1.28
Czechia,CZE,2012,1.465,1.379
Czechia,CZE,2013,1.464,1.465
Czechia,CZE,2014,1.576,1.464
Czechia,CZE,2015,1.552,1.576
Czechia,CZE,2016,1.506,1.552
Czechia,CZE,2017,1.505,1.506
Czechia,CZE,2018,1.479,1.505
Czechia,CZE,2019,1.418,1.479
Czechia,CZE,2020,1.331,1.418
Czechia,CZE,2021,1.425,1.331
Germany,DEU,1971,0.308,0.317
Germany,DEU,1972,0.307,0.308
Germany,DEU,1973,0.317,0.307
Germany,DEU,1974,0.37,0.317
Germany,DEU,1975,0.359,0.37
Germany,DEU,1976,0.384,0.359
Germany,DEU,1977,0.381,0.384
Germany,DEU,1978,0.372,0.381
Germany,DEU,1979,0.392,0.372
Germany,DEU,1980,0.419,0.392
Germany,DEU,1981,0.442,0.419
Germany,DEU,1982,0.444,0.442
Germany,DEU,1983,0.436,0.444
Germany,DEU,1984,0.462,0.436
Germany,DEU,1985,0.479,0.462
Germany,DEU,1986,0.429,0.479
Germany,DEU,1987,0.417,0.429
Germany,DEU,1988,0.425,0.417
Germany,DEU,1989,0.452,0.425
Germany,DEU,1990,0.459,0.452
Germany,DEU,1991,0.478,0.459
Germany,DEU,1992,0.449,0.478
Germany,DEU,1993,0.406,0.449
Germany,DEU,1994,0.421,0.406
Germany,DEU,1995,0.436,0.421
Germany,DEU,1996,0.45,0.436
Germany,DEU,1997,0.496,0.45
Germany,DEU,1998,0.516,0.496
Germany,DEU,1999,0.534,0.516
Germany,DEU,2000,0.615,0.534
Germany,DEU,2001,0.621,0.615
Germany,DEU,2002,0.609,0.621
Germany,DEU,2003,0.618,0.609
Germany,DEU,2004,0.662,0.618
Germany,DEU,2005,0.709,0.662
Germany,DEU,2006,0.774,0.709
Germany,DEU,2007,0.799,0.774
Germany,DEU,2008,0.815,0.799
Germany,DEU,2009,0.712,0.815
Germany,DEU,2010,0.799,0.712
Germany,DEU,2011,0.852,0.799
Germany,DEU,2012,0.865,0.852
Germany,DEU,2013,0.851,0.865
Germany,DEU,2014,0.846,0.851
Germany,DEU,2015,0.862,0.846
Germany,DEU,2016,0.848,0.862
Germany,DEU,2017,0.872,0.848
Germany,DEU,2018,0.885,0.872
Germany,DEU,2019,0.877,0.885
Germany,DEU,2020,0.804,0.877
Germany,DEU,2021,0.887,0.804
Denmark,DNK,1967,0.555,0.577
Denmark,DNK,1968,0.553,0.555
Denmark,DNK,1969,0.555,0.553
Denmark,DNK,1970,0.571,0.555
Denmark,DNK,1971,0.557,0.571
Denmark,DNK,1972,0.532,0.557
Denmark,DNK,1973,0.578,0.532
Denmark,DNK,1974,0.647,0.578
Denmark,DNK,1975,0.597,0.647
Denmark,DNK,1976,0.61,0.597
Denmark,DNK,1977,0.603,0.61
Denmark,DNK,1978,0.571,0.603
Denmark,DNK,1979,0.608,0.571
Denmark,DNK,1980,0.655,0.608
Denmark,DNK,1981,0.707,0.655
Denmark,DNK,1982,0.708,0.707
Denmark,DNK,1983,0.696,0.708
Denmark,DNK,1984,0.709,0.696
Denmark,DNK,1985,0.721,0.709
Denmark,DNK,1986,0.648,0.721
Denmark,DNK,1987,0.614,0.648
Denmark,DNK,1988,0.638,0.614
Denmark,DNK,1989,0.67,0.638
Denmark,DNK,1990,0.673,0.67
Denmark,DNK,1991,0.691,0.673
Denmark,DNK,1992,0.67,0.691
Denmark,DNK,1993,0.656,0.67
Denmark,DNK,1994,0.678,0.656
Denmark,DNK,1995,0.685,0.678
Denmark,DNK,1996,0.685,0.685
Denmark,DNK,1997,0.712,0.685
Denmark,DNK,1998,0.713,0.712
Denmark,DNK,1999,0.727,0.713
Denmark,DNK,2000,0.83,0.727
Denmark,DNK,2001,0.84,0.83
Denmark,DNK,2002,0.846,0.84
Denmark,DNK,2003,0.809,0.846
Denmark,DNK,2004,0.822,0.809
Denmark,DNK,2005,0.894,0.822
Denmark,DNK,2006,0.974,0.894
