longitude,latitude,dir,dirCat,speed
0.125,45.125,228,225,3.12
0.375,45.125,228,225,3.24
0.625,45.125,229,225,3.34
0.875,45.125,229,225,3.44
1.125,45.125,228,225,3.48
1.375,45.125,226,225,3.49
1.625,45.125,225,225,3.50
1.875,45.125,224,225,3.51
2.125,45.125,222,225,3.52
2.375,45.125,220,225,3.53
2.625,45.125,218,225,3.54
2.875,45.125,215,210,3.55
3.125,45.125,208,210,3.59
3.375,45.125,201,195,3.67
3.625,45.125,194,195,3.80
3.875,45.125,190,195,3.98
4.125,45.125,188,195,4.18
4.375,45.125,186,180,4.39
4.625,45.125,184,180,4.52
4.875,45.125,184,180,4.19
5.125,45.125,186,180,3.54
5.375,45.125,189,195,2.92
5.625,45.125,191,195,2.41
5.875,45.125,193,195,2.11
6.125,45.125,193,195,1.90
6.375,45.125,195,195,1.65
6.625,45.125,196,195,1.52
6.875,45.125,195,195,1.56
7.125,45.125,194,195,1.65
7.375,45.125,193,195,1.73
7.625,45.125,199,195,1.79
7.875,45.125,212,210,1.90
8.125,45.125,223,225,2.10
8.375,45.125,232,225,2.31
8.625,45.125,238,240,2.32
8.875,45.125,243,240,2.18
9.125,45.125,250,255,2.06
9.375,45.125,255,255,1.97
9.625,45.125,257,255,1.90
9.875,45.125,257,255,1.83
-9.875,45.125,246,240,8.54
-9.625,45.125,247,240,8.70
-9.375,45.125,249,255,8.84
-9.125,45.125,250,255,8.91
-8.875,45.125,251,255,8.95
-8.625,45.125,252,255,8.99
-8.375,45.125,253,255,9.02
-8.125,45.125,255,255,9.02
-7.875,45.125,256,255,9.03
-7.625,45.125,257,255,9.03
-7.375,45.125,258,255,8.89
-7.125,45.125,258,255,8.58
-6.875,45.125,259,255,8.27
-6.625,45.125,260,255,7.97
-6.375,45.125,261,255,7.71
-6.125,45.125,261,255,7.46
-5.875,45.125,261,255,7.22
-5.625,45.125,261,255,6.99
-5.375,45.125,260,255,6.77
-5.125,45.125,259,255,6.57
-4.875,45.125,258,255,6.37
-4.625,45.125,256,255,6.18
-4.375,45.125,253,255,5.99
-4.125,45.125,250,255,5.82
-3.875,45.125,247,240,5.66
-3.625,45.125,244,240,5.59
-3.375,45.125,242,240,5.61
-3.125,45.125,239,240,5.65
-2.875,45.125,237,240,5.68
-2.625,45.125,235,240,5.60
-2.375,45.125,234,240,5.42
-2.125,45.125,232,225,5.25
-1.875,45.125,231,225,5.08
-1.625,45.125,231,225,4.90
-1.375,45.125,231,225,4.59
-1.125,45.125,231,225,3.57
-0.875,45.125,231,225,2.77
-0.625,45.125,230,225,2.83
-0.375,45.125,229,225,2.93
-0.125,45.125,229,225,3.01
0.125,45.375,232,225,3.22
0.375,45.375,231,225,3.33
0.625,45.375,232,225,3.43
0.875,45.375,232,225,3.51
1.125,45.375,231,225,3.53
1.375,45.375,230,225,3.50
1.625,45.375,229,225,3.46
1.875,45.375,227,225,3.42
2.125,45.375,225,225,3.40
2.375,45.375,223,225,3.39
2.625,45.375,221,225,3.38
2.875,45.375,218,225,3.36
3.125,45.375,211,210,3.34
3.375,45.375,204,210,3.36
3.625,45.375,197,195,3.43
3.875,45.375,192,195,3.59
4.125,45.375,190,195,3.79
4.375,45.375,187,180,4.02
4.625,45.375,186,180,4.18
4.875,45.375,186,180,3.95
5.125,45.375,188,195,3.40
5.375,45.375,190,195,2.87
5.625,45.375,193,195,2.42
5.875,45.375,194,195,2.13
6.125,45.375,195,195,1.92
6.375,45.375,196,195,1.69
6.625,45.375,197,195,1.60
6.875,45.375,196,195,1.68
7.125,45.375,195,195,1.75
7.375,45.375,193,195,1.83
7.625,45.375,198,195,1.86
7.875,45.375,208,210,1.95
8.125,45.375,217,210,2.17
8.375,45.375,224,225,2.38
8.625,45.375,228,225,2.36
8.875,45.375,232,225,2.14
9.125,45.375,237,240,1.92
9.375,45.375,242,240,1.78
9.625,45.375,245,240,1.73
9.875,45.375,247,240,1.73
-9.875,45.375,247,240,7.81
-9.625,45.375,248,255,7.96
-9.375,45.375,249,255,8.08
-9.125,45.375,250,255,8.11
-8.875,45.375,251,255,8.12
-8.625,45.375,252,255,8.12
-8.375,45.375,253,255,8.11
-8.125,45.375,254,255,8.08
-7.875,45.375,254,255,8.04
-7.625,45.375,255,255,8.01
-7.375,45.375,256,255,7.90
-7.125,45.375,256,255,7.71
-6.875,45.375,257,255,7.51
-6.625,45.375,258,255,7.32
-6.375,45.375,258,255,7.14
-6.125,45.375,258,255,6.97
-5.875,45.375,258,255,6.81
-5.625,45.375,258,255,6.65
-5.375,45.375,257,255,6.49
-5.125,45.375,255,255,6.34
-4.875,45.375,253,255,6.19
-4.625,45.375,251,255,6.07
-4.375,45.375,249,255,5.96
-4.125,45.375,246,240,5.86
-3.875,45.375,244,240,5.78
-3.625,45.375,241,240,5.76
-3.375,45.375,239,240,5.81
-3.125,45.375,238,240,5.87
-2.875,45.375,236,240,5.92
-2.625,45.375,235,240,5.85
-2.375,45.375,234,240,5.68
-2.125,45.375,233,240,5.52
-1.875,45.375,232,225,5.35
-1.625,45.375,232,225,5.15
-1.375,45.375,233,240,4.83
-1.125,45.375,234,240,3.78
-0.875,45.375,235,240,2.94
-0.625,45.375,234,240,2.99
-0.375,45.375,233,240,3.07
-0.125,45.375,232,225,3.13
0.125,45.625,236,240,3.10
0.375,45.625,235,240,3.22
0.625,45.625,235,240,3.34
0.875,45.625,235,240,3.43
1.125,45.625,234,240,3.43
1.375,45.625,233,240,3.34
1.625,45.625,232,225,3.26
1.875,45.625,230,225,3.18
2.125,45.625,228,225,3.12
2.375,45.625,226,225,3.08
2.625,45.625,223,225,3.05
2.875,45.625,220,225,3.01
3.125,45.625,213,210,2.98
3.375,45.625,206,210,2.99
3.625,45.625,199,195,3.04
3.875,45.625,195,195,3.17
4.125,45.625,192,195,3.38
4.375,45.625,190,195,3.63
4.625,45.625,188,195,3.84
4.875,45.625,188,195,3.73
5.125,45.625,190,195,3.33
5.375,45.625,193,195,2.91
5.625,45.625,196,195,2.54
5.875,45.625,197,195,2.35
6.125,45.625,197,195,2.29
6.375,45.625,198,195,2.21
6.625,45.625,198,195,2.20
6.875,45.625,196,195,2.16
7.125,45.625,194,195,1.99
7.375,45.625,190,195,1.83
7.625,45.625,190,195,1.68
7.875,45.625,196,195,1.74
8.125,45.625,203,210,2.00
8.375,45.625,207,210,2.26
8.625,45.625,209,210,2.35
8.875,45.625,211,210,2.23
9.125,45.625,215,210,2.05
9.375,45.625,219,225,1.92
9.625,45.625,222,225,1.88
9.875,45.625,225,225,1.88
-9.875,45.625,248,255,7.12
-9.625,45.625,249,255,7.30
-9.375,45.625,249,255,7.42
-9.125,45.625,250,255,7.49
-8.875,45.625,251,255,7.53
-8.625,45.625,251,255,7.56
-8.375,45.625,252,255,7.56
-8.125,45.625,252,255,7.53
-7.875,45.625,253,255,7.50
-7.625,45.625,253,255,7.48
-7.375,45.625,254,255,7.41
-7.125,45.625,254,255,7.30
-6.875,45.625,254,255,7.18
-6.625,45.625,255,255,7.05
-6.375,45.625,255,255,6.92
-6.125,45.625,254,255,6.79
-5.875,45.625,254,255,6.67
-5.625,45.625,254,255,6.54
-5.375,45.625,252,255,6.42
-5.125,45.625,251,255,6.30
-4.875,45.625,249,255,6.19
-4.625,45.625,247,240,6.11
-4.375,45.625,245,240,6.05
-4.125,45.625,243,240,6.00
-3.875,45.625,241,240,5.95
-3.625,45.625,239,240,5.95
-3.375,45.625,238,240,5.99
-3.125,45.625,237,240,6.04
-2.875,45.625,236,240,6.07
-2.625,45.625,235,240,5.97
-2.375,45.625,235,240,5.79
-2.125,45.625,234,240,5.61
-1.875,45.625,234,240,5.43
-1.625,45.625,234,240,5.21
-1.375,45.625,235,240,4.87
-1.125,45.625,236,240,3.77
-0.875,45.625,238,240,2.91
-0.625,45.625,238,240,2.94
-0.375,45.625,237,240,2.99
-0.125,45.625,236,240,3.02
0.125,45.875,240,240,2.99
0.375,45.875,239,240,3.13
0.625,45.875,239,240,3.25
0.875,45.875,238,240,3.35
1.125,45.875,238,240,3.33
1.375,45.875,236,240,3.19
1.625,45.875,235,240,3.06
1.875,45.875,233,240,2.94
2.125,45.875,231,225,2.85
2.375,45.875,228,225,2.78
2.625,45.875,226,225,2.72
2.875,45.875,222,225,2.67
3.125,45.875,216,210,2.64
3.375,45.875,209,210,2.64
3.625,45.875,202,195,2.67
3.875,45.875,197,195,2.79
4.125,45.875,195,195,3.01
4.375,45.875,193,195,3.26
4.625,45.875,191,195,3.52
4.875,45.875,191,195,3.53
5.125,45.875,193,195,3.26
5.375,45.875,195,195,2.96
5.625,45.875,198,195,2.68
5.875,45.875,200,195,2.58
6.125,45.875,199,195,2.65
6.375,45.875,199,195,2.72
6.625,45.875,199,195,2.77
6.875,45.875,197,195,2.60
7.125,45.875,193,195,2.21
7.375,45.875,188,195,1.83
7.625,45.875,183,180,1.56
7.875,45.875,184,180,1.63
8.125,45.875,188,195,1.97
8.375,45.875,191,195,2.32
8.625,45.875,193,195,2.54
8.875,45.875,195,195,2.53
9.125,45.875,198,195,2.40
9.375,45.875,202,195,2.30
9.625,45.875,206,210,2.24
9.875,45.875,209,210,2.21
-9.875,45.875,249,255,6.42
-9.625,45.875,250,255,6.62
-9.375,45.875,250,255,6.76
-9.125,45.875,250,255,6.85
-8.875,45.875,251,255,6.93
-8.625,45.875,251,255,6.99
-8.375,45.875,251,255,7.00
-8.125,45.875,251,255,6.98
-7.875,45.875,251,255,6.96
-7.625,45.875,251,255,6.95
-7.375,45.875,251,255,6.92
-7.125,45.875,251,255,6.88
-6.875,45.875,252,255,6.84
-6.625,45.875,251,255,6.78
-6.375,45.875,251,255,6.69
-6.125,45.875,251,255,6.61
-5.875,45.875,250,255,6.52
-5.625,45.875,249,255,6.44
-5.375,45.875,248,255,6.35
-5.125,45.875,247,240,6.27
-4.875,45.875,245,240,6.20
-4.625,45.875,244,240,6.15
-4.375,45.875,242,240,6.14
-4.125,45.875,240,240,6.12
-3.875,45.875,239,240,6.11
-3.625,45.875,238,240,6.12
-3.375,45.875,237,240,6.16
-3.125,45.875,236,240,6.19
-2.875,45.875,236,240,6.18
-2.625,45.875,235,240,6.05
-2.375,45.875,235,240,5.86
-2.125,45.875,235,240,5.67
-1.875,45.875,236,240,5.48
-1.625,45.875,236,240,5.26
-1.375,45.875,237,240,4.89
-1.125,45.875,239,240,3.76
-0.875,45.875,242,240,2.87
-0.625,45.875,241,240,2.88
-0.375,45.875,241,240,2.91
-0.125,45.875,240,240,2.92
0.125,46.125,242,240,2.86
0.375,46.125,242,240,2.98
0.625,46.125,241,240,3.10
0.875,46.125,241,240,3.20
1.125,46.125,240,240,3.16
1.375,46.125,239,240,3.01
1.625,46.125,238,240,2.87
1.875,46.125,236,240,2.73
2.125,46.125,233,240,2.63
2.375,46.125,230,225,2.57
2.625,46.125,227,225,2.50
2.875,46.125,224,225,2.45
3.125,46.125,218,225,2.43
3.375,46.125,212,210,2.44
3.625,46.125,205,210,2.48
3.875,46.125,200,195,2.60
4.125,46.125,198,195,2.82
4.375,46.125,196,195,3.08
4.625,46.125,195,195,3.35
4.875,46.125,195,195,3.43
5.125,46.125,196,195,3.27
5.375,46.125,199,195,3.07
5.625,46.125,202,195,2.89
5.875,46.125,204,210,2.81
6.125,46.125,203,210,2.83
6.375,46.125,202,195,2.84
6.625,46.125,202,195,2.83
6.875,46.125,200,195,2.64
7.125,46.125,197,195,2.31
7.375,46.125,193,195,1.98
7.625,46.125,188,195,1.76
7.875,46.125,186,180,1.81
8.125,46.125,186,180,2.07
8.375,46.125,186,180,2.32
8.625,46.125,187,180,2.51
8.875,46.125,188,195,2.56
9.125,46.125,191,195,2.54
9.375,46.125,193,195,2.52
9.625,46.125,196,195,2.48
9.875,46.125,199,195,2.38
-9.875,46.125,251,255,5.77
-9.625,46.125,251,255,5.99
-9.375,46.125,251,255,6.14
-9.125,46.125,251,255,6.26
-8.875,46.125,252,255,6.38
-8.625,46.125,252,255,6.47
-8.375,46.125,251,255,6.51
-8.125,46.125,251,255,6.51
-7.875,46.125,251,255,6.52
-7.625,46.125,250,255,6.52
-7.375,46.125,250,255,6.52
-7.125,46.125,250,255,6.52
-6.875,46.125,250,255,6.52
-6.625,46.125,249,255,6.49
-6.375,46.125,248,255,6.44
-6.125,46.125,248,255,6.38
-5.875,46.125,247,240,6.32
-5.625,46.125,246,240,6.27
-5.375,46.125,245,240,6.22
-5.125,46.125,243,240,6.16
-4.875,46.125,242,240,6.12
-4.625,46.125,241,240,6.10
-4.375,46.125,239,240,6.11
-4.125,46.125,238,240,6.12
-3.875,46.125,237,240,6.14
-3.625,46.125,236,240,6.16
-3.375,46.125,236,240,6.19
-3.125,46.125,235,240,6.22
-2.875,46.125,235,240,6.18
-2.625,46.125,235,240,6.02
-2.375,46.125,235,240,5.80
-2.125,46.125,236,240,5.58
-1.875,46.125,236,240,5.37
-1.625,46.125,237,240,5.15
-1.375,46.125,237,240,4.78
-1.125,46.125,240,240,3.66
-0.875,46.125,243,240,2.78
-0.625,46.125,243,240,2.78
-0.375,46.125,243,240,2.79
-0.125,46.125,243,240,2.79
0.125,46.375,244,240,2.68
0.375,46.375,244,240,2.79
0.625,46.375,244,240,2.89
0.875,46.375,244,240,2.97
1.125,46.375,243,240,2.93
1.375,46.375,241,240,2.79
1.625,46.375,240,240,2.65
1.875,46.375,238,240,2.52
2.125,46.375,235,240,2.44
2.375,46.375,232,225,2.39
2.625,46.375,228,225,2.35
2.875,46.375,224,225,2.32
3.125,46.375,219,225,2.33
3.375,46.375,213,210,2.37
3.625,46.375,208,210,2.43
3.875,46.375,204,210,2.57
4.125,46.375,201,195,2.79
4.375,46.375,200,195,3.05
4.625,46.375,198,195,3.32
4.875,46.375,199,195,3.44
5.125,46.375,201,195,3.36
5.375,46.375,203,210,3.26
5.625,46.375,206,210,3.18
5.875,46.375,207,210,3.06
6.125,46.375,207,210,2.88
6.375,46.375,207,210,2.68
6.625,46.375,207,210,2.49
6.875,46.375,206,210,2.37
7.125,46.375,203,210,2.33
7.375,46.375,201,195,2.30
7.625,46.375,198,195,2.27
7.875,46.375,196,195,2.23
8.125,46.375,193,195,2.20
8.375,46.375,190,195,2.16
8.625,46.375,187,180,2.16
8.875,46.375,187,180,2.26
9.125,46.375,187,180,2.41
9.375,46.375,188,195,2.56
9.625,46.375,188,195,2.58
9.875,46.375,190,195,2.39
-9.875,46.375,254,255,5.15
-9.625,46.375,254,255,5.39
-9.375,46.375,254,255,5.58
-9.125,46.375,253,255,5.74
-8.875,46.375,253,255,5.90
-8.625,46.375,253,255,6.02
-8.375,46.375,252,255,6.09
-8.125,46.375,252,255,6.14
-7.875,46.375,251,255,6.18
-7.625,46.375,251,255,6.21
-7.375,46.375,250,255,6.22
-7.125,46.375,249,255,6.22
-6.875,46.375,248,255,6.22
-6.625,46.375,247,240,6.20
-6.375,46.375,246,240,6.15
-6.125,46.375,245,240,6.11
-5.875,46.375,244,240,6.06
-5.625,46.375,243,240,6.02
-5.375,46.375,242,240,6.00
-5.125,46.375,241,240,5.98
-4.875,46.375,240,240,5.97
-4.625,46.375,239,240,5.97
-4.375,46.375,238,240,6.00
-4.125,46.375,236,240,6.03
-3.875,46.375,236,240,6.07
-3.625,46.375,235,240,6.10
-3.375,46.375,235,240,6.11
-3.125,46.375,234,240,6.13
-2.875,46.375,234,240,6.08
-2.625,46.375,234,240,5.89
-2.375,46.375,235,240,5.63
-2.125,46.375,235,240,5.36
-1.875,46.375,236,240,5.13
-1.625,46.375,237,240,4.49
-1.375,46.375,239,240,3.75
-1.125,46.375,241,240,3.09
-0.875,46.375,244,240,2.62
-0.625,46.375,244,240,2.62
-0.375,46.375,244,240,2.63
-0.125,46.375,245,240,2.63
0.125,46.625,246,240,2.54
0.375,46.625,246,240,2.61
0.625,46.625,246,240,2.69
0.875,46.625,246,240,2.75
1.125,46.625,245,240,2.71
1.375,46.625,243,240,2.59
1.625,46.625,242,240,2.46
1.875,46.625,240,240,2.35
2.125,46.625,237,240,2.28
2.375,46.625,233,240,2.25
2.625,46.625,229,225,2.22
2.875,46.625,225,225,2.21
3.125,46.625,220,225,2.25
3.375,46.625,215,210,2.31
3.625,46.625,210,210,2.40
3.875,46.625,207,210,2.54
4.125,46.625,205,210,2.77
4.375,46.625,203,210,3.02
4.625,46.625,202,195,3.27
4.875,46.625,202,195,3.41
5.125,46.625,204,210,3.41
5.375,46.625,206,210,3.39
5.625,46.625,208,210,3.39
5.875,46.625,210,210,3.24
6.125,46.625,211,210,2.92
6.375,46.625,212,210,2.57
6.625,46.625,213,210,2.25
6.875,46.625,212,210,2.20
7.125,46.625,209,210,2.39
7.375,46.625,206,210,2.58
7.625,46.625,204,210,2.71
7.875,46.625,202,195,2.60
8.125,46.625,198,195,2.31
8.375,46.625,194,195,2.04
8.625,46.625,189,195,1.90
8.875,46.625,186,180,2.03
9.125,46.625,185,180,2.31
9.375,46.625,184,180,2.59
9.625,46.625,183,180,2.67
9.875,46.625,183,180,2.43
-9.875,46.625,258,255,4.50
-9.625,46.625,257,255,4.76
-9.375,46.625,257,255,4.98
-9.125,46.625,256,255,5.17
-8.875,46.625,255,255,5.36
-8.625,46.625,255,255,5.51
-8.375,46.625,254,255,5.62
-8.125,46.625,253,255,5.70
-7.875,46.625,252,255,5.78
-7.625,46.625,251,255,5.84
-7.375,46.625,250,255,5.86
-7.125,46.625,248,255,5.87
-6.875,46.625,247,240,5.88
-6.625,46.625,246,240,5.87
-6.375,46.625,244,240,5.84
-6.125,46.625,243,240,5.81
-5.875,46.625,241,240,5.78
-5.625,46.625,240,240,5.77
-5.375,46.625,239,240,5.78
-5.125,46.625,239,240,5.79
-4.875,46.625,238,240,5.80
-4.625,46.625,237,240,5.82
-4.375,46.625,236,240,5.86
-4.125,46.625,235,240,5.91
-3.875,46.625,234,240,5.95
-3.625,46.625,234,240,5.96
-3.375,46.625,234,240,5.96
-3.125,46.625,233,240,5.97
-2.875,46.625,233,240,5.90
-2.625,46.625,234,240,5.70
-2.375,46.625,234,240,5.43
-2.125,46.625,235,240,4.95
-1.875,46.625,236,240,4.36
-1.625,46.625,238,240,3.51
-1.375,46.625,241,240,2.78
-1.125,46.625,243,240,2.57
-0.875,46.625,244,240,2.49
-0.625,46.625,245,240,2.49
-0.375,46.625,245,240,2.50
-0.125,46.625,246,240,2.50
0.125,46.875,246,240,2.46
0.375,46.875,246,240,2.50
0.625,46.875,246,240,2.54
0.875,46.875,246,240,2.57
1.125,46.875,245,240,2.54
1.375,46.875,243,240,2.46
1.625,46.875,241,240,2.38
1.875,46.875,239,240,2.31
2.125,46.875,236,240,2.26
2.375,46.875,233,240,2.22
2.625,46.875,229,225,2.19
2.875,46.875,225,225,2.18
3.125,46.875,221,225,2.23
3.375,46.875,217,210,2.30
3.625,46.875,212,210,2.39
3.875,46.875,209,210,2.53
4.125,46.875,207,210,2.72
4.375,46.875,206,210,2.93
4.625,46.875,205,210,3.14
4.875,46.875,205,210,3.26
5.125,46.875,206,210,3.28
5.375,46.875,208,210,3.30
5.625,46.875,209,210,3.33
5.875,46.875,211,210,3.20
6.125,46.875,212,210,2.88
6.375,46.875,213,210,2.54
6.625,46.875,215,210,2.22
6.875,46.875,214,210,2.20
7.125,46.875,211,210,2.43
7.375,46.875,209,210,2.67
7.625,46.875,208,210,2.83
7.875,46.875,206,210,2.71
8.125,46.875,203,210,2.39
8.375,46.875,199,195,2.07
8.625,46.875,194,195,1.90
8.875,46.875,190,195,1.99
9.125,46.875,187,180,2.23
9.375,46.875,185,180,2.47
9.625,46.875,183,180,2.54
9.875,46.875,181,180,2.34
-9.875,46.875,264,270,3.78
-9.625,46.875,262,255,4.06
-9.375,46.875,261,255,4.30
-9.125,46.875,259,255,4.51
-8.875,46.875,258,255,4.72
-8.625,46.875,257,255,4.91
-8.375,46.875,256,255,5.05
-8.125,46.875,254,255,5.17
-7.875,46.875,253,255,5.29
-7.625,46.875,251,255,5.38
-7.375,46.875,250,255,5.42
-7.125,46.875,248,255,5.46
-6.875,46.875,247,240,5.50
-6.625,46.875,245,240,5.52
-6.375,46.875,243,240,5.51
-6.125,46.875,242,240,5.51
-5.875,46.875,240,240,5.51
-5.625,46.875,239,240,5.52
-5.375,46.875,238,240,5.55
-5.125,46.875,237,240,5.57
-4.875,46.875,236,240,5.59
-4.625,46.875,235,240,5.60
-4.375,46.875,235,240,5.62
-4.125,46.875,234,240,5.65
-3.875,46.875,233,240,5.66
-3.625,46.875,233,240,5.65
-3.375,46.875,232,225,5.63
-3.125,46.875,232,225,5.61
-2.875,46.875,232,225,5.54
-2.625,46.875,233,240,5.37
-2.375,46.875,233,240,5.15
-2.125,46.875,234,240,4.32
-1.875,46.875,235,240,3.35
-1.625,46.875,238,240,2.92
-1.375,46.875,240,240,2.65
-1.125,46.875,242,240,2.48
