date,price
Jan 1 2000,1394.46
Feb 1 2000,1366.42
Mar 1 2000,1498.58
Apr 1 2000,1452.43
May 1 2000,1420.6
Jun 1 2000,1454.6
Jul 1 2000,1430.83
Aug 1 2000,1517.68
Sep 1 2000,1436.51
Oct 1 2000,1429.4
Nov 1 2000,1314.95
Dec 1 2000,1320.28
Jan 1 2001,1366.01
Feb 1 2001,1239.94
Mar 1 2001,1160.33
Apr 1 2001,1249.46
May 1 2001,1255.82
Jun 1 2001,1224.38
Jul 1 2001,1211.23
Aug 1 2001,1133.58
Sep 1 2001,1040.94
Oct 1 2001,1059.78
Nov 1 2001,1139.45
Dec 1 2001,1148.08
Jan 1 2002,1130.2
Feb 1 2002,1106.73
Mar 1 2002,1147.39
Apr 1 2002,1076.92
May 1 2002,1067.14
Jun 1 2002,989.82
Jul 1 2002,911.62
Aug 1 2002,916.07
Sep 1 2002,815.28
Oct 1 2002,885.76
Nov 1 2002,936.31
Dec 1 2002,879.82
Jan 1 2003,855.7
Feb 1 2003,841.15
Mar 1 2003,848.18
Apr 1 2003,916.92
May 1 2003,963.59
Jun 1 2003,974.5
Jul 1 2003,990.31
Aug 1 2003,1008.01
Sep 1 2003,995.97
Oct 1 2003,1050.71
Nov 1 2003,1058.2
Dec 1 2003,1111.92
Jan 1 2004,1131.13
Feb 1 2004,1144.94
Mar 1 2004,1126.21
Apr 1 2004,1107.3
May 1 2004,1120.68
Jun 1 2004,1140.84
Jul 1 2004,1101.72
Aug 1 2004,1104.24
Sep 1 2004,1114.58
Oct 1 2004,1130.2
Nov 1 2004,1173.82
Dec 1 2004,1211.92
Jan 1 2005,1181.27
Feb 1 2005,1203.6
Mar 1 2005,1180.59
Apr 1 2005,1156.85
May 1 2005,1191.5
Jun 1 2005,1191.33
Jul 1 2005,1234.18
Aug 1 2005,1220.33
Sep 1 2005,1228.81
Oct 1 2005,1207.01
Nov 1 2005,1249.48
Dec 1 2005,1248.29
Jan 1 2006,1280.08
Feb 1 2006,1280.66
Mar 1 2006,1294.87
Apr 1 2006,1310.61
May 1 2006,1270.09
Jun 1 2006,1270.2
Jul 1 2006,1276.66
Aug 1 2006,1303.82
Sep 1 2006,1335.85
Oct 1 2006,1377.94
Nov 1 2006,1400.63
Dec 1 2006,1418.3
Jan 1 2007,1438.24
Feb 1 2007,1406.82
Mar 1 2007,1420.86
Apr 1 2007,1482.37
May 1 2007,1530.62
Jun 1 2007,1503.35
Jul 1 2007,1455.27
Aug 1 2007,1473.99
Sep 1 2007,1526.75
Oct 1 2007,1549.38
Nov 1 2007,1481.14
Dec 1 2007,1468.36
Jan 1 2008,1378.55
Feb 1 2008,1330.63
Mar 1 2008,1322.7
Apr 1 2008,1385.59
May 1 2008,1400.38
Jun 1 2008,1280
Jul 1 2008,1267.38
Aug 1 2008,1282.83
Sep 1 2008,1166.36
Oct 1 2008,968.75
Nov 1 2008,896.24
Dec 1 2008,903.25
Jan 1 2009,825.88
Feb 1 2009,735.09
Mar 1 2009,797.87
Apr 1 2009,872.81
May 1 2009,919.14
Jun 1 2009,919.32
Jul 1 2009,987.48
Aug 1 2009,1020.62
Sep 1 2009,1057.08
Oct 1 2009,1036.19
Nov 1 2009,1095.63
Dec 1 2009,1115.1
Jan 1 2010,1073.87
Feb 1 2010,1104.49
Mar 1 2010,1140.45
